ID,List,Age,Gender,NatLang_AE,KnowOtherLang,GrewUpWithOtherLangInHousehould,LangDis,Vocab,Vocab.MedSplit,ART(Hit-FalseAl),ART.MedSplit,MeanAcc_Total,Condition,Coherence,Ambiguity,Accuracy,TrialDwell,KEY_FF,KEY_GazeDur,KEY_RegrPath,KEY_ProbRegrOut,KEY_SecPass,COHCUE_FF,COHCUE_GazeDur,COHCUE_RegrPath,COHCUE_ProbRegrOut,COHCUE_SecPass,SPILLOVER_FF,SPILLOVER_GazeDur,SPILLOVER_RegrPath,SPILLOVER_ProbRegrOut,SPILLOVER_SecPass
s063,3,19,m,1,0,0,0,64,low,14,high,0.786476868,Coh_UA,Coh,UA,0.909090909,5603.2,220.2222222,220.2222222,267.1111111,0.111111111,221.6666667,191.8,236.9,257.9,0.1,250.25,251.9,420.7,1126.7,0.3,365.1666667
s064,4,18,f,1,0,0,0,41,low,1,low,0.829181495,Coh_UA,Coh,UA,1,5259.788732,361.1666667,410.4166667,849.25,0.166666667,268.25,255.5,399.9166667,685,0.333333333,415.5,281.9090909,417.2727273,712.8181818,0.181818182,301.3333333
s065,1,22,f,1,0,0,0,52,low,6,low,0.743772242,Coh_UA,Coh,UA,0.833333333,4072.8,257.5555556,282.3333333,282.3333333,0,191.6666667,296.6666667,296.6666667,296.6666667,0,166.75,340.2,423.4,985.1,0.4,414
s066,2,22,f,1,0,0,0,64,low,5,low,0.829181495,Coh_UA,Coh,UA,0.916666667,2524.727273,179.2,197.1,197.1,0,200,205.6363636,250.3636364,303.9090909,0.090909091,139,231.3,335.6,473.6,0.5,NA
s067,3,18,f,1,0,0,0,65,low,18,high,0.8113879,Coh_UA,Coh,UA,1,3159.181818,211.6666667,228.3333333,343.3333333,0.333333333,199.6666667,183.6,183.6,199,0.1,206,254.8181818,338.6363636,404.7272727,0.181818182,182
s068,4,20,f,1,1,0,0,69,high,10,low,0.914590747,Coh_UA,Coh,UA,1,3839.901408,250.7272727,250.7272727,333.0909091,0.181818182,265,282.1818182,349.0909091,349.0909091,0,187.25,300.8333333,334.75,712.5833333,0.416666667,312.3333333
s069,1,21,f,1,1,0,0,69,high,9,low,0.829181495,Coh_UA,Coh,UA,0.916666667,3919.818182,211.6,211.6,245.1,0.1,132,249,264.4,264.4,0,408.3333333,314.7,484.1,667.7,0.2,400.8
s070,2,21,f,1,0,0,0,74,high,20,high,0.722419929,Coh_UA,Coh,UA,0.666666667,2765.875,205,205,205,0,97,225.6666667,225.6666667,225.6666667,0,NA,260.125,260.125,272.25,0,192
s071,3,19,f,1,0,0,0,50,low,11,low,0.87544484,Coh_UA,Coh,UA,0.909090909,4259.1,257.5,257.5,368.8,0.4,239.5,273,296.1111111,377.2222222,0.111111111,NA,303.7,365.6,487.6,0.2,234
s072,4,24,m,1,0,0,0,65,low,19,high,0.768683274,Coh_UA,Coh,UA,0.845070423,3513,277.125,327.125,327.125,0,411.6666667,288.4,317.2,354.3,0.2,232.6666667,273.3,380.2,592.9,0.5,222
s073,1,21,m,1,0,0,0,74,high,14,high,0.850533808,Coh_UA,Coh,UA,0.916666667,4489.181818,225,225,225,0,258.25,267.9,286.2,336.4,0.1,217.5,262.2727273,406.3636364,406.3636364,0,NA
s074,2,24,f,1,0,0,0,65,low,4,low,0.829181495,Coh_UA,Coh,UA,0.916666667,4753.909091,239.5,239.5,307.4,0.2,239.5,275.0909091,358.7272727,358.7272727,0,801,259.8181818,391.7272727,851.3636364,0.272727273,556.25
